order_id,customer_name,amount,order_date
ORD-2049,Sneha Menon,4466.25,2026-08-14
ORD-2024,Rohan Kapoor,4796.11,2026-08-05
ORD-2038,Arjun Gupta,822.04,2026-08-18
ORD-2020,Divya Gupta,1005.63,2026-08-04
ORD-2013,Vikram Rao,2575.56,2026-08-11
ORD-2023,Rahul Kapoor,4346.13,2026-08-09
ORD-2032,Aditya Singh,925.07,2026-08-04
ORD-2056,Arjun Kapoor,4154.84,2026-08-02
ORD-2004,Karan Sharma,4167.89,2026-08-04
ORD-2034,Rahul Nair,4785.25,2026-08-20
ORD-2036,Vikram Verma,890.76,2026-08-11
ORD-2051,Rahul Sharma,892.83,2026-08-15
ORD-2014,Priya Verma,2656.28,2026-08-06
ORD-2043,Divya Gupta,3707.82,2026-08-01
ORD-2041,Arjun Gupta,3155.13,2026-08-20
ORD-2019,Rohan Menon,1517.3,2026-08-13
ORD-2044,Sneha Singh,4712.42,2026-08-15
ORD-2012,Sneha Reddy,3554.17,2026-08-08
ORD-2039,Vikram Verma,3540.74,2026-08-09
ORD-2045,Ananya Gupta,585.58,2026-08-04
ORD-2025,Rahul Iyer,3359.88,2026-08-01
ORD-2050,Kavya Kapoor,2422.17,2026-08-03
ORD-2026,Neha Reddy,1460.18,2026-08-01
ORD-2029,Rohan Rao,2082.42,2026-08-13
ORD-2033,Neha Sharma,536.51,2026-08-07
ORD-2060,Divya Singh,3679.93,2026-08-18
ORD-2021,Sneha Nair,819.83,2026-08-08
ORD-2010,Neha Iyer,2581.79,2026-08-18
ORD-2007,Rahul Rao,764.4,2026-08-10
ORD-2052,Neha Menon,3353.89,2026-08-12
ORD-2057,Divya Singh,4111.23,2026-08-17
ORD-2048,Rohan Verma,4122.73,2026-08-04
ORD-2011,Ananya Menon,3009.7,2026-08-15
ORD-2047,Neha Sharma,2500.47,2026-08-21
ORD-2016,Ananya Gupta,3536.42,2026-08-20
ORD-2035,Priya Verma,4273.9,2026-08-15
ORD-2003,Priya Kapoor,2206.23,2026-08-08
ORD-2009,Ananya Verma,2828.17,2026-08-03
ORD-2058,Arjun Reddy,2751.76,2026-08-17
ORD-2027,Arjun Gupta,3126.1,2026-08-11
ORD-2037,Kavya Reddy,2677.41,2026-08-07
ORD-2022,Divya Verma,997.56,2026-08-13
ORD-2001,Ananya Reddy,2094.15,2026-08-02
ORD-2031,Divya Reddy,726.66,2026-08-20
ORD-2008,Rohan Reddy,693.67,2026-08-19
ORD-2053,Arjun Reddy,301.7,2026-08-21
ORD-2059,Divya Reddy,3120.06,2026-08-05
ORD-2015,Divya Kapoor,387.19,2026-08-03
ORD-2040,Rahul Gupta,3904.3,2026-08-18
ORD-2055,Vikram Iyer,1605.24,2026-08-08
ORD-2017,Divya Verma,4230.85,2026-08-09
ORD-2054,Kavya Reddy,2244.41,2026-08-07
ORD-2006,Aditya Iyer,422.6,2026-08-05
ORD-2042,Sneha Iyer,4127.0,2026-08-08
ORD-2002,Arjun Verma,1917.13,2026-08-02
ORD-2018,Rohan Verma,490.21,2026-08-10
ORD-2005,Rohan Singh,4748.0,2026-08-19
ORD-2028,Kavya Rao,4760.07,2026-08-21
